root_id,name
376,ro.wikipedia.org
377,qu.wikipedia.org
378,rue.wikipedia.org
379,ru.wikipedia.org
380,sah.wikipedia.org
381,sat.wikipedia.org
382,sa.wikipedia.org
383,sco.wikipedia.org
384,sq.wikipedia.org
385,scn.wikipedia.org
386,simple.wikipedia.org
387,sk.wikipedia.org
388,sl.wikipedia.org
389,ckb.wikipedia.org
390,sr.wikipedia.org
391,sh.wikipedia.org
392,fi.wikipedia.org
393,sv.wikipedia.org
394,tl.wikipedia.org
395,ta.wikipedia.org
396,tt.wikipedia.org
397,te.wikipedia.org
398,th.wikipedia.org
399,tr.wikipedia.org
400,uk.wikipedia.org
401,ur.wikipedia.org
402,vi.wikipedia.org
403,vo.wikipedia.org
404,war.wikipedia.org
405,wuu.wikipedia.org
406,yi.wikipedia.org
407,yo.wikipedia.org
408,zh-yue.wikipedia.org
409,bat-smg.wikipedia.org
410,zh.wikipedia.org
411,creativecommons.org
412,foundation.wikimedia.org
413,www.wikimediafoundation.org
414,www.mediawiki.org
415,en.m.wikipedia.org
416,wikimediafoundation.org
417,en.wikipedia.org
418,www.worldcat.org
419,worldwide.espacenet.com
420,www.dictionary.com
421,www.history.com
422,www.nytimes.com
423,web.archive.org
424,www.olgiateolona26giugno1959.org
425,mathematica.sns.it
426,en.wikisource.org
427,www.goilombardia.it
428,www.phys.uniroma1.it
429,fermi.lib.uchicago.edu
430,archiviostorico.corriere.it
431,www.archivi.beniculturali.it
432,primolevicenter.org
433,microboone-docdb.fnal.gov
434,adsabs.harvard.edu
435,doi.org
436,gallica.bnf.fr
437,jnm.snmjournals.org
438,arxiv.org
439,energyfromthorium.com
440,dbhs.wvusd.k12.ca.us
441,www.nature.com
442,www.nobelprize.org
443,books.google.com
444,docs.fdrlibrary.marist.edu
445,www.jstor.org
446,www.nasonline.org
447,www.genealogy.math.ndsu.nodak.edu
448,www.npr.org
449,physicstoday.scitation.org
450,gotterdammerung.org
451,www.time.com
452,www.fnal.gov
453,science.nasa.gov
454,world-nuclear.org
455,www.cnea.edu.ar
456,www.angelo.edu
457,science.energy.gov
458,www.escholarship.org
459,www.governmentattic.org
460,fas.org
461,manhattanprojectvoices.org
462,www.osti.gov
463,nobelprize.org
464,www.atomicarchive.com
465,www.aps.org
466,ilorentz.org
467,commons.wikimedia.org
468,en.wikiquote.org
469,www.wikidata.org
470,authority.bibsys.no
471,catalogo.bne.es
472,catalogue.bnf.fr
473,data.bnf.fr
474,ci.nii.ac.jp
475,d-nb.info
476,isni.org
477,id.loc.gov
478,kopkatalogs.lv
479,www.genealogy.ams.org
480,catalog.archives.gov
481,id.ndl.go.jp
482,aleph.nkp.cz
483,nla.gov.au
484,opac.sbn.it
485,libris.kb.se
486,socialarchive.iath.virginia.edu
487,www.idref.fr
488,viaf.org
489,donate.wikimedia.org
490,shop.wikimedia.org
491,af.wikipedia.org
492,als.wikipedia.org
493,am.wikipedia.org
494,ar.wikipedia.org
495,an.wikipedia.org
496,ast.wikipedia.org
497,az.wikipedia.org
498,azb.wikipedia.org
499,bn.wikipedia.org
500,zh-min-nan.wikipedia.org
501,ba.wikipedia.org
502,be.wikipedia.org
503,be-x-old.wikipedia.org
504,bg.wikipedia.org
505,bs.wikipedia.org
506,br.wikipedia.org
507,ca.wikipedia.org
508,cv.wikipedia.org
509,cs.wikipedia.org
510,co.wikipedia.org
511,cy.wikipedia.org
512,da.wikipedia.org
513,de.wikipedia.org
514,et.wikipedia.org
515,el.wikipedia.org
516,es.wikipedia.org
517,eo.wikipedia.org
518,eu.wikipedia.org
519,fa.wikipedia.org
520,hif.wikipedia.org
521,fr.wikipedia.org
522,fy.wikipedia.org
523,ga.wikipedia.org
524,gd.wikipedia.org
525,gl.wikipedia.org
526,ko.wikipedia.org
527,hy.wikipedia.org
528,hi.wikipedia.org
529,hr.wikipedia.org
530,io.wikipedia.org
531,ilo.wikipedia.org
532,id.wikipedia.org
533,ia.wikipedia.org
534,is.wikipedia.org
535,it.wikipedia.org
536,he.wikipedia.org
537,jv.wikipedia.org
538,kn.wikipedia.org
539,pam.wikipedia.org
540,ka.wikipedia.org
541,kk.wikipedia.org
542,sw.wikipedia.org
543,ht.wikipedia.org
544,ku.wikipedia.org
545,ky.wikipedia.org
546,lad.wikipedia.org
547,la.wikipedia.org
548,lv.wikipedia.org
549,lb.wikipedia.org
550,lt.wikipedia.org
551,lij.wikipedia.org
552,li.wikipedia.org
553,lmo.wikipedia.org
554,hu.wikipedia.org
555,mk.wikipedia.org
556,mg.wikipedia.org
557,ml.wikipedia.org
558,mr.wikipedia.org
559,xmf.wikipedia.org
560,arz.wikipedia.org
561,ms.wikipedia.org
562,cdo.wikipedia.org
563,mn.wikipedia.org
564,my.wikipedia.org
565,nl.wikipedia.org
566,new.wikipedia.org
567,ja.wikipedia.org
568,ce.wikipedia.org
569,no.wikipedia.org
570,nn.wikipedia.org
571,oc.wikipedia.org
572,mhr.wikipedia.org
573,or.wikipedia.org
574,uz.wikipedia.org
575,pa.wikipedia.org
576,pnb.wikipedia.org
577,km.wikipedia.org
578,pms.wikipedia.org
579,pl.wikipedia.org
580,pt.wikipedia.org
581,ro.wikipedia.org
582,qu.wikipedia.org
583,rue.wikipedia.org
584,ru.wikipedia.org
585,sah.wikipedia.org
586,sat.wikipedia.org
587,sa.wikipedia.org
588,sco.wikipedia.org
589,sq.wikipedia.org
590,scn.wikipedia.org
591,simple.wikipedia.org
592,sk.wikipedia.org
593,sl.wikipedia.org
594,ckb.wikipedia.org
595,sr.wikipedia.org
596,sh.wikipedia.org
597,fi.wikipedia.org
598,sv.wikipedia.org
599,tl.wikipedia.org
600,ta.wikipedia.org
601,tt.wikipedia.org
602,te.wikipedia.org
603,th.wikipedia.org
604,tr.wikipedia.org
605,uk.wikipedia.org
606,ur.wikipedia.org
607,vi.wikipedia.org
608,vo.wikipedia.org
609,war.wikipedia.org
610,wuu.wikipedia.org
611,yi.wikipedia.org
612,yo.wikipedia.org
613,zh-yue.wikipedia.org
614,bat-smg.wikipedia.org
615,zh.wikipedia.org
616,creativecommons.org
617,foundation.wikimedia.org
618,www.wikimediafoundation.org
619,www.mediawiki.org
620,en.m.wikipedia.org
621,wikimediafoundation.org
