id,source_domain,end_domain
78,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Neutron_capture
79,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Atomic_nucleus
80,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi_age_equation
81,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Thorium
82,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Uranium
83,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Nuclear_fission_product
84,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Italian_racial_laws
85,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Laura_Capon
86,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Manhattan_Project
87,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Nuclear_chain_reaction
88,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/X-10_Graphite_Reactor
89,https://en.wikipedia.org/wiki/Enrico_Fermi,"https://en.wikipedia.org/wiki/Oak_Ridge,_Tennessee"
90,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/B_Reactor
91,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Hanford_Site
92,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Project_Y
93,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Edward_Teller
94,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Thermonuclear_fusion
95,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/History_of_the_Teller%E2%80%93Ulam_design
96,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Trinity_(nuclear_test)
97,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fermi_problem
98,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/J._Robert_Oppenheimer
99,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/United_States_Atomic_Energy_Commission
100,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Fission_bomb
101,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Oppenheimer_security_hearing
102,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Pion
103,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Muon
104,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Cosmic_ray
105,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/List_of_things_named_after_Enrico_Fermi
